a,ka,hgg,callret-3,callret-4
http://le-online.de/place/1185,http://le-online.de/place/wurzner-strasse,http://le-online.de/place/wurznerstrasse,"Adresse(Wurzner Str. 122,04315,Leipzig)",Point(12.4184606 51.3438095)
http://le-online.de/place/1187,http://le-online.de/place/geschwister-scholl-schule,http://le-online.de/place/geschwisterschollschule,"Adresse(Am Angerteich 2,04288,Leipzig - Liebertwolkwitz)",Point(12.4588609 51.2844539)
http://le-online.de/place/1188,http://le-online.de/place/heinrich-mann-schule,http://le-online.de/place/heinrichmannschule,"Adresse(Schwarzenbergweg 4,04289,Leipzig)",Point(12.44056 51.29106)
http://le-online.de/place/1190,http://le-online.de/place/die-wasserfroesche,http://le-online.de/place/diewasserfroesche,"Adresse(An der Querbreite 4,04129,Leipzig)",Point(12.3874 51.37097)
http://le-online.de/place/1191,http://le-online.de/place/dr.-baerchen,http://le-online.de/place/drbaerchen,"Adresse(Berthastr. 17,04357,Leipzig)",Point(12.40499 51.3646)
http://le-online.de/place/1193,http://le-online.de/place/kleine-fuechse,http://le-online.de/place/kleinefuechse,"Adresse(Frohburger Str. 33 d,04277,Leipzig)",Point(12.3811982 51.3110526)
http://le-online.de/place/1194,http://le-online.de/place/maerchenwiese---heilpaedagogische-kindertagesstaette,http://le-online.de/place/maerchenwieseheilpaedagogischekindertagesstaette,"Adresse(An der Märchenwiese 3,04277,Leipzig)",Point(12.39306 51.30574)
http://le-online.de/place/1195,http://le-online.de/place/montessori-kinderhaus,http://le-online.de/place/montessorikinderhaus,"Adresse(Andromedaweg 25,04205,Leipzig)",Point(12.26897 51.3194618)
http://le-online.de/place/1200,http://le-online.de/place/nathanael---evangelische-kindertagesstaette,http://le-online.de/place/nathanaelevangelischekindertagesstaette,"Adresse(Rietschelstr. 12 ,04177,Leipzig)",Point(12.33283 51.33959)
http://le-online.de/place/1201,http://le-online.de/place/gohliser-muehle---kindertagesstaette,http://le-online.de/place/gohlisermuehlekindertagesstaette,"Adresse(Platnerstr. 11 ,04155,Leipzig)",Point(12.3604265 51.3587471)
http://le-online.de/place/1202,http://le-online.de/place/astronomisches-zentrum-schkeuditz,http://le-online.de/place/astronomischeszentrumschkeuditz,"Adresse(Bergbreite 1,04435,Schkeuditz)",Point(12.22558 51.39554)
http://le-online.de/place/1203,http://le-online.de/place/aula-grundschule-engelsdorf-christoph-arnold,http://le-online.de/place/aulagrundschuleengelsdorfchristopharnold,"Adresse(Gaswerksweg 1,04439,Leipzig - Engelsdorf)",Point(12.48812 51.34063)
http://le-online.de/place/1005,http://le-online.de/place/voelkerschlachtdenkmal,http://le-online.de/place/voelkerschlachtdenkmal,"Adresse(Str. des 18. Oktober 100,04299,Leipzig)",Point(12.3943653 51.3222147)
http://le-online.de/place/1078,http://le-online.de/place/geographie,http://le-online.de/place/geographie,"Adresse(Johannisallee 19,04103,Leipzig)",Point(12.3944931 51.3315524)
http://le-online.de/place/1079,http://le-online.de/place/geowissenschaften,http://le-online.de/place/geowissenschaften,"Adresse(Talstr. 35,04103,Leipzig)",Point(12.38584 51.33194)
http://le-online.de/place/1083,http://le-online.de/place/physik,http://le-online.de/place/physik,"Adresse(Linnéstr. 5,04103,Leipzig)",Point(12.391913 51.326965)
http://le-online.de/place/1108,http://le-online.de/place/fahrbibliothek,http://le-online.de/place/fahrbibliothek,"Adresse(An der Kotsche 11-13 ,04207,Leipzig)",Point(12.2671566 51.309039)
http://le-online.de/place/1128,http://le-online.de/place/lindenhofschule,http://le-online.de/place/lindenhofschule,"Adresse(Delitzscher Str. 110,04129,Leipzig)",Point(12.38636 51.37005)
http://le-online.de/place/1129,http://le-online.de/place/martinschule,http://le-online.de/place/martinschule,"Adresse(Neptunweg 31,04205,Leipzig)",Point(12.26759 51.32446)
http://le-online.de/place/1136,http://le-online.de/place/baerchenland,http://le-online.de/place/baerchenland,"Adresse(Pistorisstr. 10,04229,Leipzig)",Point(12.34227 51.31567)
